relationship,modstat,lhv,imd,codir,occstat_1780,occstat_1860,ded_1780,ded_1860,lit
Full sibling,0.375,0.336,0.269,0.168,0.578,0.522,0.479,0.326,0.431
Child,0.396,0.360,0.330,0.132,0.595,0.512,0.538,0.374,0.336
Sibling-rem,0.256,0.246,0.172,0.057,0.502,0.380,0.382,0.228,0.273
Grandchild,0.313,0.278,0.245,0.083,0.451,0.362,0.381,0.249,0.196
Cousin,0.208,0.211,0.144,0.061,0.431,0.299,0.291,0.173,0.234
Cousin-rem,0.133,0.147,0.098,0.016,0.341,0.274,0.234,0.162,0.191
Cousin2,0.133,0.141,0.073,0.069,0.266,0.234,0.176,0.186,0.200
Cousin2-rem,0.084,0.084,0.054,0.028,0.189,0.203,0.032,0.125,0.222
Cousin3,0.097,0.100,0.052,0.053,0.139,0.174,0.071,0.085,0.150
Cousin3-rem,0.059,0.069,0.013,0.016,0.070,0.111,0.094,0.032,0.052
Cousin4,0.074,0.078,0.028,0.021,0.071,0.066,0.080,0.014,0.107
